Kanton;Gemeinde;FlÑche;LÑngengrad;Breitengrad
ZH;Adlikon;661;695418;271261
ZH;Adliswil;778;681867;240400
ZH;Aesch bei Birmensdorf;524;675158;243208
ZH;Aeugst am Albis;790;679526;236597
ZH;Affoltern am Albis;1061;676530;237249
ZH;Altikon;772;701229;270491
ZH;Andelfingen;672;693034;272081
ZH;BachenbÅlach;428;683395;261815
ZH;Bachs;914;674593;264661
ZH;BÑretswil;2224;708335;243974
ZH;Bassersdorf;903;689895;255083
ZH;Bauma;2074;709150;247940
ZH;Benken (ZH);566;691300;278870
ZH;Berg am Irchel;702;686881;268594
ZH;Bertschikon;971;704943;265293
ZH;Birmensdorf (ZH);1141;675257;245262
ZH;Bonstetten;741;677694;241154
ZH;Boppelsen;397;672993;258357
ZH;BrÅtten;660;693006;258964
ZH;Bubikon;1159;703636;235968
ZH;Buch am Irchel;1028;689489;267048
ZH;Buchs (ZH);585;675304;256928
ZH;BÅlach;1612;682994;264732
ZH;Dachsen;270;689094;279538
ZH;DÑgerlen;794;696878;268814
ZH;DÑllikon;449;674964;254762
ZH;DÑnikon;286;672946;255322
ZH;DÑttlikon;289;689123;264741
ZH;Dielsdorf;587;676575;258911
ZH;Dietikon;938;672436;250574
ZH;Dietlikon;426;688784;253236
ZH;Dinhard;707;699681;268292
ZH;Dorf;559;691165;269639
ZH;DÅbendorf;1362;688984;249525
ZH;DÅrnten;1021;707074;237061
ZH;Egg;1449;694975;239284
ZH;Eglisau;904;681824;269746
ZH;Elgg;1558;707455;261037
ZH;Ellikon an der Thur;503;704271;268955
ZH;Elsau;806;703163;262214
ZH;Embrach;1270;687302;262619
ZH;Erlenbach (ZH);289;688368;239972
ZH;FÑllanden;640;690407;247207
ZH;Fehraltorf;950;699008;249323
ZH;Feuerthalen;249;691082;282388
ZH;Fischenthal;3029;713561;243946
ZH;Flaach;1016;687756;271098
ZH;Flurlingen;241;689962;281992
ZH;Freienstein-Teufen;837;686308;266396
ZH;Geroldswil;193;673444;252665
ZH;Glattfelden;1235;679593;268307
ZH;Gossau (ZH);1827;700580;239923
ZH;Greifensee;233;693721;245417
ZH;Greifensee;818;693754;245302
ZH;GrÅningen;877;700113;237344
ZH;Hagenbuch;811;708225;263841
ZH;Hausen am Albis;1362;683131;233189
ZH;Hedingen;655;676555;239452
ZH;Henggart;300;693717;268705
ZH;Herrliberg;898;690124;239160
ZH;Hettlingen;589;695418;267304
ZH;Hinwil;2228;706942;239919
ZH;Hirzel;970;688011;230513
ZH;Hittnau;1294;705035;247092
ZH;Hochfelden;615;680598;264739
ZH;Hofstetten bei Elgg;879;706775;259072
ZH;Hombrechtikon;1220;700679;234382
ZH;Horgen;2107;686764;233723
ZH;Hîri;481;680144;262402
ZH;Humlikon;370;693035;270122
ZH;HÅntwangen;492;679718;271784
ZH;HÅtten;728;693050;225405
ZH;HÅttikon;159;671740;254990
ZH;Illnau-Effretikon;2530;696386;253249
ZH;Kappel am Albis;792;681217;231034
ZH;Kilchberg (ZH);257;683517;241809
ZH;Kleinandelfingen;1035;692678;273820
ZH;Kloten;1922;686459;256988
ZH;Knonau;649;677554;230898
ZH;KÅsnacht (ZH);1237;688726;241645
ZH;Kyburg;761;698781;256573
ZH;Langnau am Albis;869;682578;237113
ZH;Laufen-Uhwiesen;627;690498;280654
ZH;Lindau;1200;693801;255554
ZH;Lufingen;520;687040;259813
ZH;MÑnnedorf;477;695451;235072
ZH;Marthalen;1412;690176;274855
ZH;Maschwanden;468;675004;232024
ZH;Maur;1476;692306;243520
ZH;Meilen;1195;691833;237329
ZH;Mettmenstetten;1302;677627;233497
ZH;Mînchaltorf;761;697127;241010
ZH;Neerach;606;678098;262641
ZH;Neftenbach;1496;692452;265925
ZH;Niederglatt;362;679891;260796
ZH;Niederhasli;1129;679287;258091
ZH;Niederweningen;687;670550;261772
ZH;NÅrensdorf;1007;691285;257010
ZH;Oberembrach;1025;690077;260418
ZH;Oberengstringen;216;677538;251551
ZH;Oberglatt;828;681820;259191
ZH;Oberrieden;276;685731;236365
ZH;Oberstammheim;943;702613;276079
ZH;Oberweningen;489;672865;262475
ZH;Obfelden;754;674430;234983
ZH;Oetwil am See;612;697225;236691
ZH;Oetwil an der Limmat;277;672370;253800
ZH;Opfikon;559;685500;253874
ZH;Ossingen;1307;696426;274364
ZH;Otelfingen;716;671730;257505
ZH;Ottenbach;500;673444;237186
ZH;PfÑffikon;1956;702362;247061
ZH;Pfungen;498;690684;262971
ZH;Rafz;1071;683070;274189
ZH;Regensberg;238;674632;259068
ZH;Regensdorf;1463;677896;254855
ZH;Rheinau;893;688375;276059
ZH;Richterswil;751;694563;228510
ZH;Rickenbach (ZH);604;701972;267600
ZH;Rifferswil;652;680279;233223
ZH;Rorbas;440;685063;265442
ZH;RÅmlang;1240;682265;255715
ZH;RÅschlikon;293;683812;239868
ZH;Russikon;1430;701850;250919
ZH;RÅti (ZH);1011;708001;235138
ZH;Schlatt (ZH);898;704665;258688
ZH;Schleinikon;568;671845;261259
ZH;Schlieren;659;676268;249845
ZH;Schîfflisdorf;403;673863;261901
ZH;Schînenberg (ZH);1096;691041;227701
ZH;Schwerzenbach;264;691919;248600
ZH;SeegrÑben;377;700433;244288
ZH;Seuzach;757;696943;265635
ZH;Stadel;1286;677666;265759
ZH;StÑfa;858;698043;233651
ZH;Stallikon;1201;679645;241400
ZH;Steinmaur;937;675701;261258
